"","V1","V2","V3","V4","V5","V6"
"1",0.335465152825123,0.573206178677814,0.302837138134755,0.171350191758749,0.307309509876786,0.00849840845353021
"2",0.283507101481979,0.515043958991938,0.268774145752107,0.12679702158407,0.228948149295507,0.0304881669349186
"3",0.205035505905359,0.349069824846182,0.344266325102023,0.198579388594182,0.263510673178115,0.0311759308825362
"4",0.243464797090237,0.390079774273637,0.332177496581385,0.188193785893898,0.311251714632407,0.011152412778371
"5",0.354453591087562,0.53279976758546,0.262572691449241,0.152895202199122,0.17576457649646,0.0224769217058712
"6",0.442144807793326,0.642201515804414,0.229630795693754,0.125548255002677,0.235431627037557,0.0124976730121718
"7",0.596558187517975,0.79722032637979,0.189908345532231,0.102362682086143,0.503143314166063,0.0350149005196965
"8",0.54167145501117,0.718731396981383,0.299150568279487,0.234762034218497,0.793255359155243,0.0199705727011268
"9",0.444821534168109,0.574090139355717,0.573179159697662,0.515404633407633,0.666749891126152,0.0196803982171972
"10",0.27979274456609,0.334420067103955,0.859126294718874,0.863210438665049,0.336369554506394,0.013323228263862
"11",0.385017533320047,0.444955424480413,0.734073476643379,0.706275254943401,0.497749384345829,0.0201866742521311
"12",0.613401563066888,0.728761729900904,0.80047545929683,0.717868896413002,0.413293169687266,0.0636780091218683
"13",0.613654717065808,0.722811473330531,0.953809414231134,0.84396868474331,0.373085505246387,0.0416832471515504
"14",0.619862021616861,0.730611956808224,0.983406443619919,0.881635179448061,0.374724880680554,0.0909177575816096
"15",0.529353321333417,0.608756298148631,0.850117442508822,0.890330503988922,0.376369053489464,0.0240124130526029
"16",0.445844220476112,0.597193713269193,0.876799804400804,0.828502151888901,0.285382763427002,0.026756652301261
"17",0.286300264614441,0.411265705514703,0.777826620088277,0.497643064849025,0.339740291849873,0.0437405441625974
"18",0.305554426661533,0.444503634196185,0.893951850522238,0.59975403477521,0.329449366735492,0.0403053902326881
"19",0.0876386633863415,0.123876258910684,0.743771394146915,0.751494751637795,0.0625452907591614,0.0827741318262355
"20",0.0859870613912798,0.123171870955368,0.746224408884813,0.753257554725363,0.0640544209978774,0.0828086984454424
"21",0.148341937157103,0.216342608554805,0.79372884484106,0.401191663359264,0.14097268734966,0.0764700361347265
